Panelist,Genotype_Original,genotype,Unique_ID,rank,Moisture,Friability,FGME,Color,bG,SP,TP,KI,FAN,DP,aA
31,Rank_562_117.7,117.17,31_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
32,Rank_562_117.7,117.17,32_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
33,Rank_562_117.7,117.17,33_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
34,Rank_562_117.7,117.17,34_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
35,Rank_562_117.7,117.17,35_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
36,Rank_562_117.7,117.17,36_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
37,Rank_562_117.7,117.17,37_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
38,Rank_562_117.7,117.17,38_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
39,Rank_562_117.7,117.17,39_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
40,Rank_562_117.7,117.17,40_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
41,Rank_562_117.7,117.17,41_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
42,Rank_562_117.7,117.17,42_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
43,Rank_562_117.7,117.17,43_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
44,Rank_562_117.7,117.17,44_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
45,Rank_562_117.7,117.17,45_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
46,Rank_562_117.7,117.17,46_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
47,Rank_562_117.7,117.17,47_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
48,Rank_562_117.7,117.17,48_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
49,Rank_562_117.7,117.17,49_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
50,Rank_562_117.7,117.17,50_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
51,Rank_562_117.7,117.17,51_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
52,Rank_562_117.7,117.17,52_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
53,Rank_562_117.7,117.17,53_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
54,Rank_562_117.7,117.17,54_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
55,Rank_562_117.7,117.17,55_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
56,Rank_562_117.7,117.17,56_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
57,Rank_562_117.7,117.17,57_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
58,Rank_562_117.7,117.17,58_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
59,Rank_562_117.7,117.17,59_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
60,Rank_562_117.7,117.17,60_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
61,Rank_562_117.7,117.17,61_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
62,Rank_562_117.7,117.17,62_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
63,Rank_562_117.7,117.17,63_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
65,Rank_562_117.7,117.17,65_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
66,Rank_562_117.7,117.17,66_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
67,Rank_562_117.7,117.17,67_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
70,Rank_562_117.7,117.17,70_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
71,Rank_562_117.7,117.17,71_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
72,Rank_562_117.7,117.17,72_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
73,Rank_562_117.7,117.17,73_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
74,Rank_562_117.7,117.17,74_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
75,Rank_562_117.7,117.17,75_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
76,Rank_562_117.7,117.17,76_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
77,Rank_562_117.7,117.17,77_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
83,Rank_562_117.7,117.17,83_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
84,Rank_562_117.7,117.17,84_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
87,Rank_562_117.7,117.17,87_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
89,Rank_562_117.7,117.17,89_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
90,Rank_562_117.7,117.17,90_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
93,Rank_562_117.7,117.17,93_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
94,Rank_562_117.7,117.17,94_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
95,Rank_562_117.7,117.17,95_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
96,Rank_562_117.7,117.17,96_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
97,Rank_562_117.7,117.17,97_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
98,Rank_562_117.7,117.17,98_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
99,Rank_562_117.7,117.17,99_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
100,Rank_562_117.7,117.17,100_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
101,Rank_562_117.7,117.17,101_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
102,Rank_562_117.7,117.17,102_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
103,Rank_562_117.7,117.17,103_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
104,Rank_562_117.7,117.17,104_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
105,Rank_562_117.7,117.17,105_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
106,Rank_562_117.7,117.17,106_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
107,Rank_562_117.7,117.17,107_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
108,Rank_562_117.7,117.17,108_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
109,Rank_562_117.7,117.17,109_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
110,Rank_562_117.7,117.17,110_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
111,Rank_562_117.7,117.17,111_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
112,Rank_562_117.7,117.17,112_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
114,Rank_562_117.7,117.17,114_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
115,Rank_562_117.7,117.17,115_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
116,Rank_562_117.7,117.17,116_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
117,Rank_562_117.7,117.17,117_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
118,Rank_562_117.7,117.17,118_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
119,Rank_562_117.7,117.17,119_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
120,Rank_562_117.7,117.17,120_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
121,Rank_562_117.7,117.17,121_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
122,Rank_562_117.7,117.17,122_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
123,Rank_562_117.7,117.17,123_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
124,Rank_562_117.7,117.17,124_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
125,Rank_562_117.7,117.17,125_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
126,Rank_562_117.7,117.17,126_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
127,Rank_562_117.7,117.17,127_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
128,Rank_562_117.7,117.17,128_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
129,Rank_562_117.7,117.17,129_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
130,Rank_562_117.7,117.17,130_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
131,Rank_562_117.7,117.17,131_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
133,Rank_562_117.7,117.17,133_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
134,Rank_562_117.7,117.17,134_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
135,Rank_562_117.7,117.17,135_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
136,Rank_562_117.7,117.17,136_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
137,Rank_562_117.7,117.17,137_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
138,Rank_562_117.7,117.17,138_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
139,Rank_562_117.7,117.17,139_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
140,Rank_562_117.7,117.17,140_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
141,Rank_562_117.7,117.17,141_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
142,Rank_562_117.7,117.17,142_117.17,3,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
143,Rank_562_117.7,117.17,143_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
144,Rank_562_117.7,117.17,144_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
145,Rank_562_117.7,117.17,145_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
146,Rank_562_117.7,117.17,146_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
147,Rank_562_117.7,117.17,147_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
148,Rank_562_117.7,117.17,148_117.17,1,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
158,Rank_562_117.7,117.17,158_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
159,Rank_562_117.7,117.17,159_117.17,2,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
160,Rank_562_117.7,117.17,160_117.17,4,4.1,70.1,77.8,1.21,735,3.65,11.6,31.5,110,82,24.1
1,Rank_728_120.14,120.14,1_120.14,3,4.1,81.6,78.7,1.78,229,4.81,12.6,38.2,171,111,52.5
3,Rank_728_120.14,120.14,3_120.14,2,4.1,81.6,78.7,1.78,229,4.81,12.6,38.2,171,111,52.5
4,Rank_728_120.14,120.14,4_120.14,4,4.1,81.6,78.7,1.78,229,4.81,12.6,38.2,171,111,52.5
